Export Stamp,Hex,PE Export Date,Cobalt Strike version
1575497188,0x5de82de4,Wed 04 Dec 2019 10:06:28 PM ,"Cobalt Strike 4.0 (Dec 05, 2019)"
1569306883,0x5d89b903,Tue 24 Sep 2019 06:34:43 AM ,"Cobalt Strike 4.0 (Dec 05, 2019)"
1556924433,0x5cccc811,Fri 03 May 2019 11:00:33 PM ,"Cobalt Strike 3.14 (May 04, 2019)"
1555631605,0x5cb90df5,Thu 18 Apr 2019 11:53:25 PM ,"Cobalt Strike 3.14 (May 02, 2019)"
1546037702,0x5c26a9c6,Fri 28 Dec 2018 10:55:02 PM ,"Cobalt Strike 3.13 (Jan 02, 2019)"
1536184396,0x5b90504c,Wed 05 Sep 2018 09:53:16 PM ,"Cobalt Strike 3.12 (Sep 06, 2018)"
1527022389,0x5b048335,Tue 22 May 2018 08:53:09 PM ,"Cobalt Strike 3.11 (May 24, 2018)"
1523134121,0x5ac92ea9,Sat 07 Apr 2018 08:48:41 PM ,"Cobalt Strike 3.11 (Apr 09, 2018)"
1512682653,0x5a29b49d,Thu 07 Dec 2017 09:37:33 PM ,"Cobalt Strike 3.10 (Dec 11, 2017)"
1505657962,0x59be846a,Sun 17 Sep 2017 02:19:22 PM ,"Cobalt Strike 3.9 (Sep 26, 2017)"
1495488077,0x5923564d,Mon 22 May 2017 09:21:17 PM ,"Cobalt Strike 3.8 (May 23, 2017)"
1488758730,0x58bca7ca,Mon 06 Mar 2017 12:05:30 AM ,"Cobalt Strike 3.7 (Mar 15, 2017)"
1481145921,0x58487e41,Wed 07 Dec 2016 09:25:21 PM ,"Cobalt Strike 3.6 (Dec 08, 2016)"
1474078204,0x57dca5fc,Sat 17 Sep 2016 02:10:04 AM ,"Cobalt Strike 3.5 (Sep 22, 2016)"
1469737033,0x579a6849,Thu 28 Jul 2016 08:17:13 PM ,"Cobalt Strike 3.4 (Jul 29, 2016)"
